------------------------------------ [ roc/ElectronEff_v4/medium_electron_2016a.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Electron 7   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_Ele27_MediumID_Plus_v4.root     sim_s6m0            
Electron 7   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele27_MediumID_Minus_v4.root    data_s6m0           
Electron 7   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele27_MediumID_Minus_v4.root    sim_s6m0            
Electron 7   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_Ele23Leg1_MediumID_Plus_v4.root data_s6m0           
Electron 7   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_Ele23Leg1_MediumID_Plus_v4.root sim_s6m0            
Electron 7   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele23Leg1_MediumID_Minus_v4.roo data_s6m0           
Electron 7   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele23Leg1_MediumID_Minus_v4.roo sim_s6m0            
Electron 7   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_Ele12Leg2_MediumID_Plus_v4.root data_s6m0           
Electron 7   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_Ele12Leg2_MediumID_Plus_v4.root sim_s6m0            
Electron 7   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele12Leg2_MediumID_Minus_v4.roo data_s6m0           
Electron 7   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_Ele12Leg2_MediumID_Minus_v4.roo sim_s6m0            
Electron 8   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_MediumID_Plus_v4.root           data_s7m0           
Electron 8   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2016a/2016a_MediumID_Plus_v4.root           sim_s7m0            
Electron 8   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_MediumID_Minus_v4.root          data_s7m0           
Electron 8   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2016a/2016a_MediumID_Minus_v4.root          sim_s7m0            
------------------------------------ [ roc/ElectronEff_v4/medium_electron_2016b.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Electron 0   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_MediumID_Plus_v4.root           data                
Electron 0   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_MediumID_Plus_v4.root           sim                 
Electron 0   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_MediumID_Minus_v4.root          data                
Electron 0   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_MediumID_Minus_v4.root          sim                 
Electron 0   0      False SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele27_MediumID_Plus_v4.root     data                
Electron 0   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele27_MediumID_Plus_v4.root     sim                 
Electron 0   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele27_MediumID_Minus_v4.root    data                
Electron 0   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele27_MediumID_Minus_v4.root    sim                 
Electron 0   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele23Leg1_MediumID_Plus_v4.root data                
Electron 0   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele23Leg1_MediumID_Plus_v4.root sim                 
Electron 0   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele23Leg1_MediumID_Minus_v4.roo data                
Electron 0   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele23Leg1_MediumID_Minus_v4.roo sim                 
Electron 0   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele12Leg2_MediumID_Plus_v4.root data                
Electron 0   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2016b/2016b_Ele12Leg2_MediumID_Plus_v4.root sim                 
Electron 0   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele12Leg2_MediumID_Minus_v4.roo data                
Electron 0   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2016b/2016b_Ele12Leg2_MediumID_Minus_v4.roo sim                 
Electron 0   0      False RECO               Plus   root/ElectronEff_v4/medium_electron_2016b/RECO.root                             data                
Electron 0   0      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2016b/RECO.root                             sim                 
Electron 0   0      False RECO               Minus  root/ElectronEff_v4/medium_electron_2016b/RECO.root                             data                
Electron 0   0      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2016b/RECO.root                             sim                 
